age(Gyr),M/Msun,log L/Lsun,Teff(K),log g,R/Rsun
10,0.001,-9.338,84,3.43,0.1008
10,0.0015,-9.001,101,3.589,0.1029
10,0.002,-8.749,116,3.704,0.1041
10,0.0025,-8.552,130,3.794,0.1049
10,0.003,-8.394,142,3.87,0.1053
10,0.0035,-8.261,153,3.935,0.1055
10,0.004,-8.147,163,3.992,0.1056
10,0.0045,-8.045,173,4.044,0.1055
10,0.005,-7.953,183,4.092,0.1053
10,0.006,-7.793,201,4.175,0.1048
10,0.007,-7.659,218,4.248,0.1041
10,0.008,-7.534,235,4.312,0.1034
10,0.009,-7.423,251,4.369,0.1027
10,0.01,-7.33,266,4.421,0.1019
10,0.011,-7.243,280,4.468,0.1013
10,0.0115,-7.194,289,4.49,0.101
10,0.012,-7.157,296,4.512,0.1006
10,0.0125,-7.136,300,4.533,0.1001
10,0.013,-7.114,304,4.554,0.0997
10,0.0135,-7.09,309,4.574,0.0993
10,0.014,-7.064,314,4.593,0.0989
10,0.0145,-7.04,320,4.612,0.0985
10,0.015,-7.015,325,4.63,0.0981
10,0.0155,-6.992,330,4.648,0.0977
10,0.016,-6.969,335,4.665,0.0974
10,0.0165,-6.945,340,4.682,0.097
10,0.017,-6.922,345,4.698,0.0966
10,0.0175,-6.9,350,4.714,0.0963
10,0.018,-6.878,355,4.729,0.0959
10,0.0185,-6.858,360,4.744,0.0955
10,0.019,-6.838,365,4.759,0.0952
10,0.0195,-6.819,370,4.774,0.0948
10,0.02,-6.798,375,4.788,0.0945
10,0.022,-6.699,400,4.842,0.0932
10,0.024,-6.619,421,4.891,0.0919
10,0.026,-6.511,451,4.937,0.0907
10,0.028,-6.434,475,4.98,0.0896
10,0.03,-6.361,498,5.02,0.0886
10,0.033,-6.259,533,5.076,0.0871
10,0.035,-6.189,557,5.111,0.0862
10,0.038,-6.092,594,5.16,0.0849
10,0.04,-6.035,617,5.19,0.0841
10,0.043,-5.954,650,5.233,0.083
10,0.045,-5.902,673,5.26,0.0823
10,0.048,-5.824,708,5.299,0.0813
10,0.05,-5.77,733,5.323,0.0807
10,0.053,-5.688,773,5.357,0.0799
10,0.055,-5.63,801,5.379,0.0794
10,0.058,-5.535,850,5.408,0.0788
10,0.06,-5.46,889,5.427,0.0784
10,0.063,-5.316,967,5.45,0.0783
10,0.064,-5.256,1001,5.456,0.0783
10,0.065,-5.185,1041,5.461,0.0784
10,0.066,-5.103,1090,5.465,0.0787
10,0.067,-5.005,1151,5.467,0.0791
10,0.068,-4.887,1226,5.466,0.0798
10,0.069,-4.748,1320,5.462,0.0808
10,0.07,-4.587,1435,5.452,0.0822
10,0.071,-4.42,1562,5.438,0.0842
10,0.072,-4.262,1688,5.422,0.0864
10,0.073,-4.129,1801,5.407,0.0885
10,0.074,-4.018,1898,5.394,0.0905
10,0.075,-3.926,1983,5.383,0.0922
10,0.077,-3.777,2122,5.364,0.0955
10,0.078,-3.715,2182,5.356,0.097
10,0.08,-3.609,2286,5.341,0.1
10,0.083,-3.481,2410,5.321,0.1042
10,0.085,-3.40384,2498.964002,5.31707,0.105976
10,0.09,-3.2557,2625.125073,5.27931,0.113893
10,0.095,-3.14196,2728.663616,5.25624,0.120164
10,0.1,-3.05481,2800.270595,5.23639,0.126136
10,0.11,-2.91801,2904.691407,5.20456,0.137231
10,0.12,-2.81032,2980.162873,5.17924,0.147573
10,0.13,-2.72045,3038.855153,5.158,0.1574